year,country_code,coal_production,oil_production,gas_production,nuclear_consumption,renewables_consumption,primary_energy_consumption,net_elec_imports,gdp_usd,gdp_growth,trade_openness,energy_imports_pct,energy_use_per_capita,nuclear_pct_electricity,inflation_cpi,reserve_share,reserves_usd_bn,kaopen,ka_open,political_stability,rule_of_law,gov_effectiveness,regulatory_quality,has_reserve_share,total_production_twh,production_share,net_import_world_share,net_energy_position,gdp_share,era,energy_dominance_weighted,net_energy_position_lag10,net_energy_position_lag15
1900,AFR_REGION,6.68,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,6.68,0.0003719122514242625,0.0,0.0003719122514242625,,coal_era,,,
1901,AFR_REGION,11.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,11.21,0.0006095304462360979,0.0,0.0006095304462360979,,coal_era,,,
1902,AFR_REGION,16.71,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,16.71,0.0008868237729909462,0.0,0.0008868237729909462,,coal_era,,,
1903,AFR_REGION,22.675,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,22.675,0.0011032875682675909,0.0,0.0011032875682675909,,coal_era,,,
1904,AFR_REGION,25.596,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,25.596,0.0012324010543875688,0.0,0.0012324010543875688,,coal_era,,,
1905,AFR_REGION,29.479,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,29.479,0.0013258612431045456,0.0,0.0013258612431045456,,coal_era,,,
1906,AFR_REGION,33.662,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,33.662,0.0014373465170799227,0.0,0.0014373465170799227,,coal_era,,,
1907,AFR_REGION,37.147,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,37.147,0.0014318241702805,0.0,0.0014318241702805,,coal_era,,,
1908,AFR_REGION,38.53,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,38.53,0.0015453001138861719,0.0,0.0015453001138861719,,coal_era,,,
1909,AFR_REGION,44.221,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,44.221,0.0016980505806418317,0.0,0.0016980505806418317,,coal_era,,,
1910,AFR_REGION,50.036,0.0,0.0,,,,,,,,,,,,,,,,,,,,False,50.036,0.0018287888038768744,0.0,0.0018287888038768744,,coal_era,,0.0003719122514242625,
1911,AFR_REGION,48.453,0.035,0.0,,,,,,,,,,,,,,,,,,,,False,48.488,0.001736898804581762,0.0,0.001736898804581762,,coal_era,,0.0006095304462360979,
1912,AFR_REGION,51.363,0.326,0.0,,,,,,,,,,,,,,,,,,,,False,51.689,0.0017620237437037283,0.0,0.0017620237437037283,,coal_era,,0.0008868237729909462,
1913,AFR_REGION,56.243,0.151,0.0,,,,,,,,,,,,,,,,,,,,False,56.394000000000005,0.001794185304847972,0.0,0.001794185304847972,,coal_era,,0.0011032875682675909,
1914,AFR_REGION,55.367,1.163,0.0,,,,,,,,,,,,,,,,,,,,False,56.529999999999994,0.001997635912921026,0.0,0.001997635912921026,,coal_era,,0.0012324010543875688,
1915,AFR_REGION,56.182,0.349,0.0,,,,,,,,,,,,,,,,,,,,False,56.531,0.0020241819762190577,0.0,0.0020241819762190577,,coal_era,,0.0013258612431045456,0.0003719122514242625
1916,AFR_REGION,66.437,0.686,0.0,,,,,,,,,,,,,,,,,,,,False,67.123,0.002242734035225589,0.0,0.002242734035225589,,coal_era,,0.0014373465170799227,0.0006095304462360979
1917,AFR_REGION,71.814,1.605,0.0,,,,,,,,,,,,,,,,,,,,False,73.419,0.002350252361064245,0.0,0.002350252361064245,,coal_era,,0.0014318241702805,0.0008868237729909462
1918,AFR_REGION,68.779,3.291,0.0,,,,,,,,,,,,,,,,,,,,False,72.07,0.0023384231377154394,0.0,0.0023384231377154394,,coal_era,,0.0015453001138861719,0.0011032875682675909
1919,AFR_REGION,71.337,2.617,0.0,,,,,,,,,,,,,,,,,,,,False,73.95400000000001,0.0027889007226916153,0.0,0.0027889007226916153,,coal_era,,0.0016980505806418317,0.0012324010543875688
