country_code,year,fx_turnover_share_pct
USD,2010,84.9
USD,2013,87.0
USD,2016,87.6
USD,2019,88.3
USD,2022,88.4
EUR,2010,39.0
EUR,2013,33.4
EUR,2016,31.4
EUR,2019,32.3
EUR,2022,30.5
JPY,2010,19.0
JPY,2013,23.0
JPY,2016,21.6
JPY,2019,16.8
JPY,2022,16.7
GBP,2010,12.9
GBP,2013,11.8
GBP,2016,12.8
GBP,2019,12.8
GBP,2022,12.9
CNY,2010,0.9
CNY,2013,2.2
CNY,2016,4.0
CNY,2019,4.3
CNY,2022,7.0
AUS,2010,7.6
AUS,2013,8.6
AUS,2016,6.9
AUS,2019,6.8
AUS,2022,6.4
CAN,2010,5.3
CAN,2013,4.6
CAN,2016,5.1
CAN,2019,5.0
CAN,2022,6.2
CHF,2010,6.3
CHF,2013,5.2
CHF,2016,4.8
CHF,2019,5.0
CHF,2022,5.2
BRA,2010,0.7
BRA,2013,1.1
BRA,2016,1.0
BRA,2019,1.1
BRA,2022,0.9
IND,2010,0.9
IND,2013,1.0
IND,2016,1.1
IND,2019,1.7
IND,2022,1.6
JPN,2010,19.0
JPN,2013,23.0
JPN,2016,21.6
JPN,2019,16.8
JPN,2022,16.7
CHN,2010,0.9
CHN,2013,2.2
CHN,2016,4.0
CHN,2019,4.3
CHN,2022,7.0
