year,currency_code,country_code,fx_turnover_daily_bn,fx_share_pct,fx_share_pct_200
2001,USD,USA,556.93,46.4599,89.9
2001,EUR,EMU,234.79,19.5866,37.9
2001,JPY,JPN,145.58,12.1447,23.5
2001,GBP,GBR,80.53,6.7183,13.0
2001,CHF,CHE,37.17,3.1008,6.0
2001,CAD,CAN,27.88,2.3256,4.5
2001,AUD,AUS,26.64,2.2222,4.3
2001,SEK,SWE,15.49,1.292,2.5
2001,HKD,HKG,13.63,1.137,2.2
2001,NOK,NOR,9.29,0.7752,1.5
2001,DKK,DNK,7.43,0.6202,1.2
2001,SGD,SGP,6.81,0.5685,1.1
2001,ZAR,ZAF,5.58,0.4651,0.9
2001,MXN,MEX,4.96,0.4134,0.8
2001,KRW,KOR,4.96,0.4134,0.8
2001,NZD,NZL,3.72,0.3101,0.6
2001,BRL,BRA,3.1,0.2584,0.5
2001,PLN,POL,3.1,0.2584,0.5
2001,TWD,TWN,1.86,0.155,0.3
2001,RUB,RUS,1.86,0.155,0.3
2001,INR,IND,1.24,0.1034,0.2
2001,THB,THA,1.24,0.1034,0.2
2001,CZK,CZE,1.24,0.1034,0.2
2001,CLP,CHL,1.24,0.1034,0.2
2001,SAR,SAU,1.24,0.1034,0.2
2001,ILS,ISR,0.62,0.0517,0.1
2001,MYR,MYS,0.62,0.0517,0.1
2001,CNY,CHN,0.0,0.0,0.0
2001,HUF,HUN,0.0,0.0,0.0
2001,IDR,IDN,0.0,0.0,0.0
2001,TRY,TUR,0.0,0.0,0.0
2001,PHP,PHL,0.0,0.0,0.0
2004,USD,USA,850.96,45.5016,88.0
2004,EUR,EMU,361.66,19.3382,37.4
2004,JPY,JPN,201.14,10.7549,20.8
2004,GBP,GBR,159.56,8.5315,16.5
2004,CHF,CHE,58.02,3.1024,6.0
2004,AUD,AUS,58.02,3.1024,6.0
2004,CAD,CAN,40.61,2.1717,4.2
2004,SEK,SWE,21.27,1.1375,2.2
2004,HKD,HKG,17.41,0.9307,1.8
2004,NOK,NOR,13.54,0.7239,1.4
2004,NZD,NZL,10.64,0.5688,1.1
2004,MXN,MEX,10.64,0.5688,1.1
2004,KRW,KOR,10.64,0.5688,1.1
2004,SGD,SGP,8.7,0.4654,0.9
2004,DKK,DNK,8.7,0.4654,0.9
2004,ZAR,ZAF,6.77,0.3619,0.7
2004,RUB,RUS,5.8,0.3102,0.6
2004,PLN,POL,3.87,0.2068,0.4
2004,TWD,TWN,3.87,0.2068,0.4
2004,INR,IND,2.9,0.1551,0.3
2004,BRL,BRA,2.9,0.1551,0.3
2004,THB,THA,1.93,0.1034,0.2
2004,CZK,CZE,1.93,0.1034,0.2
2004,HUF,HUN,1.93,0.1034,0.2
2004,CNY,CHN,0.97,0.0517,0.1
2004,IDR,IDN,0.97,0.0517,0.1
2004,TRY,TUR,0.97,0.0517,0.1
2004,CLP,CHL,0.97,0.0517,0.1
2004,SAR,SAU,0.97,0.0517,0.1
2004,ILS,ISR,0.97,0.0517,0.1
2004,MYR,MYS,0.97,0.0517,0.1
2004,PHP,PHL,0.0,0.0,0.0
2007,USD,USA,1422.67,44.5138,85.6
2007,EUR,EMU,614.94,19.2408,37.0
2007,JPY,JPN,285.86,8.9444,17.2
2007,GBP,GBR,247.64,7.7483,14.9
2007,CHF,CHE,113.02,3.5361,6.8
2007,AUD,AUS,109.69,3.4321,6.6
2007,CAD,CAN,71.47,2.2361,4.3
2007,SEK,SWE,44.87,1.4041,2.7
2007,HKD,HKG,44.87,1.4041,2.7
2007,NOK,NOR,34.9,1.092,2.1
2007,NZD,NZL,31.58,0.988,1.9
2007,MXN,MEX,21.61,0.676,1.3
2007,SGD,SGP,19.94,0.624,1.2
2007,KRW,KOR,19.94,0.624,1.2
2007,ZAR,ZAF,14.96,0.468,0.9
2007,DKK,DNK,13.3,0.416,0.8
2007,PLN,POL,13.3,0.416,0.8
2007,INR,IND,11.63,0.364,0.7
2007,RUB,RUS,11.63,0.364,0.7
2007,CNY,CHN,8.31,0.26,0.5
2007,BRL,BRA,6.65,0.208,0.4
2007,TWD,TWN,6.65,0.208,0.4
2007,HUF,HUN,4.99,0.156,0.3
2007,THB,THA,3.32,0.104,0.2
2007,CZK,CZE,3.32,0.104,0.2
2007,TRY,TUR,3.32,0.104,0.2
2007,ILS,ISR,3.32,0.104,0.2
2007,IDR,IDN,1.66,0.052,0.1
2007,CLP,CHL,1.66,0.052,0.1
2007,SAR,SAU,1.66,0.052,0.1
2007,PHP,PHL,1.66,0.052,0.1
2007,MYR,MYS,1.66,0.052,0.1
2007,COP,COL,0.0,0.0,0.0
2007,RON,ROU,0.0,0.0,0.0
2007,PEN,PER,0.0,0.0,0.0
2010,USD,USA,1689.93,43.3606,84.9
2010,EUR,EMU,776.3,19.9183,39.0
2010,JPY,JPN,378.19,9.7038,19.0
2010,GBP,GBR,256.77,6.5884,12.9
2010,AUD,AUS,151.28,3.8815,7.6
2010,CHF,CHE,125.4,3.2176,6.3
2010,CAD,CAN,105.5,2.7068,5.3
2010,HKD,HKG,47.77,1.2257,2.4
2010,SEK,SWE,43.79,1.1236,2.2
2010,NZD,NZL,31.85,0.8172,1.6
2010,KRW,KOR,29.86,0.7661,1.5
2010,SGD,SGP,27.87,0.715,1.4
2010,NOK,NOR,25.88,0.6639,1.3
2010,MXN,MEX,25.88,0.6639,1.3
2010,INR,IND,17.91,0.4597,0.9
2010,CNY,CHN,17.91,0.4597,0.9
2010,RUB,RUS,17.91,0.4597,0.9
2010,PLN,POL,15.92,0.4086,0.8
2010,ZAR,ZAF,13.93,0.3575,0.7
2010,TRY,TUR,13.93,0.3575,0.7
2010,BRL,BRA,13.93,0.3575,0.7
2010,DKK,DNK,11.94,0.3064,0.6
2010,TWD,TWN,9.95,0.2554,0.5
2010,HUF,HUN,7.96,0.2043,0.4
2010,MYR,MYS,5.97,0.1532,0.3
2010,THB,THA,3.98,0.1021,0.2
2010,IDR,IDN,3.98,0.1021,0.2
2010,CZK,CZE,3.98,0.1021,0.2
2010,ILS,ISR,3.98,0.1021,0.2
2010,CLP,CHL,3.98,0.1021,0.2
2010,PHP,PHL,3.98,0.1021,0.2
2010,COP,COL,1.99,0.0511,0.1
2010,SAR,SAU,1.99,0.0511,0.1
2010,PEN,PER,1.99,0.0511,0.1
2010,RON,ROU,1.99,0.0511,0.1
2010,AED,ARE,1.99,0.0511,0.1
2013,USD,USA,2325.07,43.8066,87.0
2013,EUR,EMU,892.61,16.8177,33.4
2013,JPY,JPN,614.68,11.5811,23.0
2013,GBP,GBR,315.36,5.9416,11.8
2013,AUD,AUS,229.83,4.3303,8.6
2013,CHF,CHE,138.97,2.6183,5.2
2013,CAD,CAN,122.94,2.3162,4.6
2013,MXN,MEX,66.81,1.2588,2.5
2013,CNY,CHN,58.8,1.1078,2.2
2013,NZD,NZL,53.45,1.007,2.0
2013,SEK,SWE,48.11,0.9063,1.8
2013,RUB,RUS,42.76,0.8056,1.6
2013,HKD,HKG,37.41,0.7049,1.4
2013,NOK,NOR,37.41,0.7049,1.4
2013,SGD,SGP,37.41,0.7049,1.4
2013,TRY,TUR,34.74,0.6546,1.3
2013,KRW,KOR,32.07,0.6042,1.2
2013,ZAR,ZAF,29.4,0.5539,1.1
2013,BRL,BRA,29.4,0.5539,1.1
2013,INR,IND,26.73,0.5035,1.0
2013,DKK,DNK,21.38,0.4028,0.8
2013,PLN,POL,18.71,0.3525,0.7
2013,TWD,TWN,13.36,0.2518,0.5
2013,MYR,MYS,10.69,0.2014,0.4
2013,CZK,CZE,10.69,0.2014,0.4
2013,HUF,HUN,10.69,0.2014,0.4
2013,THB,THA,8.02,0.1511,0.3
2013,ILS,ISR,8.02,0.1511,0.3
2013,CLP,CHL,8.02,0.1511,0.3
