country_code,tmpi_scaled,thorium_reserve_share,nuclear_share_energy,institutional_quality
USA,100.0,0.108,0.07567863240182457,0.7614484946823991
CAN,20.76037306756032,0.028,0.05364064335423209,0.8602421285907756
IND,15.758145305935583,0.161,0.01176996551799272,0.5175372305136754
BRA,9.72726875715051,0.134,0.009819206369700443,0.4600947656373417
RUS,9.307857355739852,0.025,0.05814182084967327,0.39852782129729086
CHN,4.2102987865499975,0.021,0.02244741891447263,0.5558591691414536
ZAF,2.7316204428248394,0.024,0.0139626507898762,0.5073162801862137
AUS,0.0,0.126,0.0,0.8549181505026885
GBR,0.0,0.0,0.051108437964645634,0.7913389134929422
JPN,0.0,0.0,0.04318976995154767,0.8560633286431972
NOR,0.0,0.021,0.0,0.908713190779892
TUR,0.0,0.056,0.0,0.42114687197436557
